id,model_probability,model_prediction,external_prediction,model_confidence_from_threshold
000094.jpg,0.9205838203430176,1,0,0.46058382034301754
000119.jpg,0.9004803419113159,1,0,0.44048034191131585
000188.jpg,0.8971014976501465,1,0,0.43710149765014644
000025.jpg,0.8941077947616577,1,0,0.4341077947616577
000061.jpg,0.884151041507721,1,0,0.4241510415077209
000030.jpg,0.8706833243370056,1,0,0.41068332433700555
000141.jpg,0.8700359106063843,1,0,0.4100359106063843
000099.jpg,0.860924756526947,1,0,0.400924756526947
000012.jpg,0.8430414080619812,1,0,0.3830414080619812
000168.jpg,0.8385101795196533,1,0,0.3785101795196533
000079.jpg,0.8208826661109925,1,0,0.36088266611099246
000038.jpg,0.8163340210914611,1,0,0.3563340210914611
000121.jpg,0.808740210533142,1,0,0.348740210533142
000164.jpg,0.7979599475860596,1,0,0.3379599475860596
000107.jpg,0.796700942516327,1,0,0.33670094251632693
000048.jpg,0.7957182407379151,1,0,0.33571824073791506
000057.jpg,0.7876359820365906,1,0,0.32763598203659056
000128.jpg,0.7713165521621704,1,0,0.3113165521621704
000101.jpg,0.771009647846222,1,0,0.3110096478462219
000051.jpg,0.7652320504188538,1,0,0.30523205041885376
000163.jpg,0.7583743810653687,1,0,0.2983743810653687
000092.jpg,0.7514315485954285,1,0,0.29143154859542847
000177.jpg,0.7472481250762939,1,0,0.2872481250762939
000126.jpg,0.7454927682876586,1,0,0.2854927682876586
000156.jpg,0.740454638004303,1,0,0.280454638004303
000011.jpg,0.18020472675561905,0,1,0.27979527324438097
000018.jpg,0.736025583744049,1,0,0.276025583744049
000159.jpg,0.725562858581543,1,0,0.265562858581543
000074.jpg,0.7249217987060547,1,0,0.26492179870605465
000189.jpg,0.1966559872031212,0,1,0.2633440127968788
000035.jpg,0.7067033410072326,1,0,0.24670334100723262
000086.jpg,0.7045106887817383,1,0,0.24451068878173826
000178.jpg,0.21737694889307022,0,1,0.2426230511069298
000072.jpg,0.6954595446586609,1,0,0.23545954465866087
000053.jpg,0.22659971415996552,0,1,0.2334002858400345
000148.jpg,0.6883312106132508,1,0,0.22833121061325073
000149.jpg,0.6810635805130005,1,0,0.2210635805130005
000115.jpg,0.6467979550361633,1,0,0.1867979550361633
000187.jpg,0.6312675893306732,1,0,0.17126758933067315
000039.jpg,0.2895587652921677,0,1,0.17044123470783235
000171.jpg,0.29247897267341616,0,1,0.16752102732658386
000056.jpg,0.6090864479541779,1,0,0.14908644795417786
000066.jpg,0.6017152190208435,1,0,0.14171521902084344
000155.jpg,0.5943216383457184,1,0,0.13432163834571836
000003.jpg,0.5925524771213532,1,0,0.13255247712135315
000059.jpg,0.5917100369930267,1,0,0.1317100369930267
000006.jpg,0.3329885482788086,0,1,0.12701145172119144
000026.jpg,0.5804929733276367,1,0,0.1204929733276367
000008.jpg,0.5789930105209351,1,0,0.11899301052093508
000151.jpg,0.5762899875640869,1,0,0.11628998756408687
000088.jpg,0.5753295481204986,1,0,0.11532954812049862
000083.jpg,0.5683202922344208,1,0,0.1083202922344208
000117.jpg,0.5573610484600067,1,0,0.09736104846000665
000165.jpg,0.5523967921733857,1,0,0.09239679217338564
000150.jpg,0.548935455083847,1,0,0.08893545508384698
000174.jpg,0.5447408020496368,1,0,0.0847408020496368
000145.jpg,0.5423462569713593,1,0,0.08234625697135928
000144.jpg,0.5412283599376678,1,0,0.0812283599376678
000031.jpg,0.38273980617523196,0,1,0.07726019382476806
000109.jpg,0.3831928789615631,0,1,0.0768071210384369
000069.jpg,0.38742717504501345,0,1,0.07257282495498657
000116.jpg,0.5095954954624176,1,0,0.04959549546241754
000127.jpg,0.411233177781105,0,1,0.048766822218895
000075.jpg,0.5081955015659332,1,0,0.04819550156593316
000032.jpg,0.5054890215396881,1,0,0.04548902153968809
000096.jpg,0.43180320262908933,0,1,0.028196797370910687
000004.jpg,0.43955362439155576,0,1,0.020446375608444256
000024.jpg,0.47918470203876495,1,0,0.019184702038764934
000129.jpg,0.44308073818683624,0,1,0.016919261813163777
000041.jpg,0.47382600903511046,1,0,0.013826009035110443
000045.jpg,0.4483391880989075,0,1,0.011660811901092527
000180.jpg,0.4699794888496399,1,0,0.009979488849639895
000182.jpg,0.4514379382133484,0,1,0.008562061786651642
000143.jpg,0.46502599120140076,1,0,0.005025991201400737
000172.jpg,0.4585063636302948,0,1,0.0014936363697052313
